BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
EC:08:6B:52:AC:35, 2025-05-10 15:23:12, 2025-05-10 15:24:19, 11, 130, WPA2, CCMP, PSK, -61, 1215, 139, 0.0.0.0, 15, TurkTelekom_TP45F, 
D8:07:B6:E7:6C:72, 2025-05-10 15:23:12, 2025-05-10 15:24:19, 6, 270, WPA2, CCMP, PSK, -65, 991, 85, 0.0.0.0, 21, SUPERONLINE_WiFi_3924, 
70:4F:57:FD:25:5D, 2025-05-10 15:23:12, 2025-05-10 15:24:19, 1, 270, WPA2, CCMP, PSK, -56, 742, 33, 0.0.0.0, 15, Vodafone_TR_7625, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
A4:83:E7:42:DF:99, 2025-05-10 15:23:12, 2025-05-10 15:24:19, -69, 44, EC:08:6B:52:AC:35, TurkTelekom_TP45F
58:37:C5:BD:10:1E, 2025-05-10 15:23:12, 2025-05-10 15:24:19, -72, 28, D8:07:B6:E7:6C:72, SUPERONLINE_WiFi_3924
BC:54:36:95:CE:F2, 2025-05-10 15:23:12, 2025-05-10 15:24:19, -61, 20, 70:4F:57:FD:25:5D, Vodafone_TR_7625
D2:15:F7:C4:AB:E9, 2025-05-10 15:23:12, 2025-05-10 15:24:19, -58, 33, (not associated), 
F8:A2:D6:7B:5C:E1, 2025-05-10 15:23:12, 2025-05-10 15:24:19, -65, 22, EC:08:6B:52:AC:35, TurkTelekom_TP45F
4C:D1:A1:F2:B3:77, 2025-05-10 15:23:12, 2025-05-10 15:24:19, -67, 16, (not associated), 
8A:2B:D9:E3:F4:55, 2025-05-10 15:23:12, 2025-05-10 15:24:19, -72, 30, D8:07:B6:E7:6C:72, SUPERONLINE_WiFi_3924
6E:A3:B4:C5:D6:E7, 2025-05-10 15:23:12, 2025-05-10 15:24:19, -59, 14, (not associated), 
5D:F1:E2:D3:C4:B5, 2025-05-10 15:23:12, 2025-05-10 15:24:19, -62, 30, 70:4F:57:FD:25:5D, Vodafone_TR_7625
C1:A2:B3:D4:E5:F6, 2025-05-10 15:23:12, 2025-05-10 15:24:19, -68, 15, (not associated), 
E7:D6:C5:B4:A3:92, 2025-05-10 15:23:12, 2025-05-10 15:24:19, -66, 39, EC:08:6B:52:AC:35, TurkTelekom_TP45F
A1:B2:C3:D4:E5:F6, 2025-05-10 15:23:12, 2025-05-10 15:24:19, -63, 34, D8:07:B6:E7:6C:72, SUPERONLINE_WiFi_3924
F7:E6:D5:C4:B3:A2, 2025-05-10 15:23:12, 2025-05-10 15:24:19, -57, 28, 70:4F:57:FD:25:5D, Vodafone_TR_7625
1A:2B:3C:4D:5E:6F, 2025-05-10 15:23:12, 2025-05-10 15:24:19, -71, 10, (not associated), 
7F:8E:9D:0C:1B:2A, 2025-05-10 15:23:12, 2025-05-10 15:24:19, -64, 23, EC:08:6B:52:AC:35, TurkTelekom_TP45F
B1:C2:D3:E4:F5:06, 2025-05-10 15:23:12, 2025-05-10 15:24:19, -70, 17, D8:07:B6:E7:6C:72, SUPERONLINE_WiFi_3924
3E:4D:5C:6B:7A:89, 2025-05-10 15:23:12, 2025-05-10 15:24:19, -60, 13, (not associated), 
